PARENTESCO,VALOR_ASIG_RETIRO,REAJUSTE,TOTAL_ASIGNACION,ADICIONALES,TOTAL_DEVENGADO,TOTAL_DESCUENTO,NETO_PAGAR,COSTO TOTAL_NOMINA_2019,TOTAL_PRESUPUESTO GENERAL_NACION_2019,FUERZA,GRADO_ALFABETICO,RANGO,SEXO,EDAD,CIUDAD,DPTO,PAIS
TITULAR,1361648,0,1361648,0,1284574,87126,1197448,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,51,TULUA,VALLE DEL CAUCA,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,1002409,1014882,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,53,BELLO,ANTIOQUIA,COLOMBIA
TITULAR,1361648,0,1361648,0,1284574,64229,1220345,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,57,MEDELLIN,ANTIOQUIA,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,116715,1900576,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,54,ARMENIA,QUINDIO,COLOMBIA
TITULAR,1612911,0,1612911,0,1521614,581417,940197,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,59,CUCUTA,NORTE DE SANTANDER,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,931934,1085357,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,59,MEDELLIN,ANTIOQUIA,COLOMBIA
TITULAR,1388509,0,1388509,0,1309914,80496,1229418,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,54,IBAGUE,TOLIMA,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,848342,1168949,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,54,TUNJA,BOYACA,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,390696,1626595,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,55,IBAGUE,TOLIMA,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,520686,1496605,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,61,PEREIRA,RISARALDA,COLOMBIA
TITULAR,1976110,0,1976110,0,1864255,540600,1323655,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,55,BOGOTÁ,BOGOTÁ D.C,COLOMBIA
TITULAR,1707951,0,1707951,0,1611275,80564,1530711,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,57,ARMENIA,ANTIOQUIA,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,518904,1498387,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,57,ARMENIA,QUINDIO,COLOMBIA
TITULAR,1361648,0,1361648,0,1284574,408845,875729,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,55,CUCUTA,NORTE DE SANTANDER,COLOMBIA
TITULAR,1361648,0,1361648,0,1284574,422403,862171,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,57,RIOFRIO,VALLE DEL CAUCA,COLOMBIA
TITULAR,1976110,0,1976110,0,1864255,837980,1026275,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,53,VILLAVICENCIO,META,COLOMBIA
TITULAR,1976110,0,1976110,0,1864255,113625,1750630,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,58,BOGOTÁ,BOGOTÁ D.C,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,955784,1061507,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,58,VALLEDUPAR,CESAR,COLOMBIA
TITULAR,1361648,0,1361648,0,1284574,210140,1074434,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,61,SOLEDAD,ATLANTICO,COLOMBIA
TITULAR,1976110,0,1976110,0,1864255,93213,1771042,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,58,BOGOTÁ,BOGOTÁ D.C,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,927081,1090210,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,54,BARRANQUILLA,ATLANTICO,COLOMBIA
TITULAR,1361648,0,1361648,0,1284574,366466,918108,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,53,MEDELLIN,ANTIOQUIA,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,992434,1024857,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,55,BOGOTÁ,BOGOTÁ D.C,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,100865,1916426,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,55,BUCARAMANGA,SANTANDER,COLOMBIA
TITULAR,1976110,0,1976110,0,1864255,523333,1340922,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,57,PEREIRA,RISARALDA,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,791355,1225936,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,56,PEREIRA,RISARALDA,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,983575,1033716,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,57,IBAGUE,TOLIMA,COLOMBIA
TITULAR,1976110,0,1976110,0,1864255,923537,940718,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,53,FLORIDABLANCA,SANTANDER,COLOMBIA
TITULAR,1450693,0,1450693,0,1368578,313184,1055394,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,55,PIENDAMO,CAUCA,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,999840,1017451,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,56,BUCARAMANGA,SANTANDER,COLOMBIA
TITULAR,1361648,0,1361648,0,1284574,611602,672972,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,54,CALI,VALLE DEL CAUCA,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,960059,1057232,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,64,BOGOTÁ,CUNDINAMARCA,COLOMBIA
TITULAR,1976110,0,1976110,0,1864255,525294,1338961,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,53,BARRANCABERMEJA,SANTANDER,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,1007188,1010103,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,54,VALLEDUPAR,CESAR,COLOMBIA
TITULAR,1976110,0,1976110,0,1864255,436905,1427350,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,56,LOS PATIOS,NORTE DE SANTANDER,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,100865,1916426,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,52,ARMENIA,QUINDIO,COLOMBIA
TITULAR,1361648,0,1361648,0,1284574,91400,1193174,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,56,MEDELLIN,ANTIOQUIA,COLOMBIA
